City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,69.01,62,53,5.99,broken clouds
1,Hermanus,ZA,-34.42,19.23,55.0,85,0,1.99,clear sky
2,Abu Samrah,SY,35.3,37.18,86.05,13,78,13.91,broken clouds
3,Namibe,AO,-15.2,12.15,70.5,69,0,4.99,clear sky
4,Ambovombe,MG,-25.17,46.08,84.02,43,0,7.09,clear sky
5,Bam,IR,29.11,58.36,75.07,19,0,13.76,clear sky
6,Vaini,TO,-21.2,-175.2,75.2,88,40,8.05,scattered clouds
7,Broken Hill,AU,-31.95,141.43,75.2,25,0,11.41,clear sky
8,Cape Town,ZA,-33.93,18.42,64.0,62,20,14.99,few clouds
9,Yellowknife,CA,62.46,-114.35,42.8,93,90,10.29,overcast clouds
10,San Cristobal,VE,7.77,-72.22,64.69,78,7,1.43,clear sky
11,Jamestown,US,42.1,-79.24,60.01,54,1,11.41,clear sky
12,Rabat,MA,33.99,-6.84,66.2,93,90,4.7,mist
13,Goderich,CA,43.75,-81.72,68.0,76,100,1.99,overcast clouds
14,Saurimo,AO,-9.66,20.39,74.5,65,49,5.26,scattered clouds
15,Rikitea,PF,-23.12,-134.97,73.81,80,0,15.48,clear sky
16,Mala Tokmachka,UA,47.54,35.89,59.0,62,100,11.18,haze
17,Vanimo,PG,-2.67,141.3,83.25,75,100,5.77,light rain
18,East London,ZA,-33.02,27.91,59.0,72,20,23.04,light rain
19,Saint-Augustin,CA,51.23,-58.65,33.93,83,100,17.05,overcast clouds
20,Qaanaaq,GL,77.48,-69.36,23.14,84,100,5.59,overcast clouds
21,Saint-Philippe,RE,-21.36,55.77,82.0,74,75,10.29,broken clouds
22,Albany,US,42.6,-73.97,52.0,72,86,3.94,overcast clouds
23,Port Alfred,ZA,-33.59,26.89,59.7,73,94,22.28,moderate rain
24,Leshukonskoye,RU,64.9,45.76,49.51,95,100,6.38,overcast clouds
25,Teguldet,RU,57.31,88.17,34.57,89,100,7.99,overcast clouds
26,Kahului,US,20.89,-156.47,80.6,61,1,11.41,clear sky
27,Hambantota,LK,6.12,81.12,89.6,66,75,23.04,broken clouds
28,Panorama,GR,40.59,23.03,68.0,67,13,2.24,few clouds
29,Ushuaia,AR,-54.8,-68.3,37.4,64,20,10.29,few clouds
30,Adre,TD,13.47,22.2,84.11,35,0,5.06,clear sky
31,Richards Bay,ZA,-28.78,32.04,68.04,72,86,20.83,overcast clouds
32,Bluff,NZ,-46.6,168.33,57.67,66,36,9.78,scattered clouds
33,Verkhnevilyuysk,RU,63.45,120.32,32.61,75,1,5.21,clear sky
34,Kruisfontein,ZA,-34.0,24.73,59.0,78,30,5.99,light rain
35,Hilo,US,19.73,-155.09,75.2,83,1,4.7,clear sky
36,Hamilton,US,39.18,-84.53,66.0,82,90,5.82,overcast clouds
37,Carnarvon,AU,-24.87,113.63,75.2,64,0,21.92,clear sky
38,Fukue,JP,32.69,128.84,69.8,77,75,21.92,broken clouds
39,Chalus,IR,36.66,51.42,68.0,68,40,4.7,scattered clouds
40,Airai,TL,-8.93,125.41,74.95,47,100,7.99,overcast clouds
41,Prince Rupert,CA,54.32,-130.32,48.2,93,90,6.93,overcast clouds
42,Dikson,RU,73.51,80.55,30.33,97,100,16.22,overcast clouds
43,Acapulco,MX,16.86,-99.89,78.6,83,100,3.89,overcast clouds
44,Salinopolis,BR,-0.61,-47.36,77.32,84,0,9.04,clear sky
45,Luderitz,NA,-26.65,15.16,61.32,43,0,16.62,clear sky
46,Bubaque,GW,11.28,-15.83,80.98,79,0,9.15,clear sky
47,Bengkulu,ID,-3.8,102.27,81.27,80,100,7.36,moderate rain
48,New Norfolk,AU,-42.78,147.06,57.99,72,31,6.4,scattered clouds
49,Livani,LV,56.35,26.18,48.07,87,0,3.44,clear sky
50,Puerto Ayora,EC,-0.74,-90.35,66.99,88,98,4.0,overcast clouds
51,Bafata,GW,12.17,-14.75,72.59,98,17,2.21,few clouds
52,Vanavara,RU,60.34,102.28,30.7,95,100,9.26,overcast clouds
53,Punta Arenas,CL,-53.15,-70.92,39.2,69,75,16.11,broken clouds
54,Koungheul,SN,13.98,-14.8,76.03,95,57,7.47,broken clouds
55,Hobart,AU,-42.88,147.33,57.99,50,75,10.29,broken clouds
56,Bredasdorp,ZA,-34.53,20.04,62.6,48,76,16.11,light rain
57,Mataura,NZ,-46.19,168.86,54.16,69,58,5.06,broken clouds
58,Bethel,US,41.37,-73.41,57.0,66,1,3.36,clear sky
59,Atuona,PF,-9.8,-139.03,78.37,78,1,17.87,clear sky
60,Nikolskoye,RU,59.7,30.79,52.0,87,0,6.71,clear sky
61,Kuito,AO,-12.38,16.93,64.4,82,0,5.82,clear sky
62,Alamosa,US,37.47,-105.87,37.4,40,1,9.17,clear sky
63,Birjand,IR,32.87,59.22,62.6,17,0,4.7,clear sky
64,Warren,US,39.43,-84.17,66.2,100,1,4.7,clear sky
65,Shunyi,CN,40.12,116.65,73.0,53,93,4.47,haze
66,Longyearbyen,SJ,78.22,15.64,35.6,74,90,14.99,overcast clouds
67,Codrington,AU,-38.27,141.97,54.1,77,100,12.33,overcast clouds
68,Lompoc,US,34.64,-120.46,57.2,93,90,4.9,overcast clouds
69,Verkhoyansk,RU,67.54,133.38,30.33,82,100,4.9,overcast clouds
70,Coos Bay,US,43.37,-124.22,59.0,87,90,4.7,light rain
71,Bend,US,44.06,-121.32,59.0,51,100,1.99,overcast clouds
72,Faya,SA,18.39,42.45,71.6,11,25,17.22,scattered clouds
73,Touros,BR,-5.2,-35.46,71.6,100,40,4.7,scattered clouds
74,Port Lincoln,AU,-34.73,135.87,60.51,69,0,13.09,clear sky
75,Kodiak,US,57.79,-152.41,41.0,86,90,4.7,overcast clouds
76,Khorramabad,IR,33.49,48.36,71.6,30,0,9.17,moderate rain
77,Yaring,TH,6.87,101.37,87.8,70,40,8.05,heavy intensity rain
78,Gravdal,NO,68.12,13.5,50.0,87,40,14.99,scattered clouds
79,Rolla,US,37.95,-91.77,62.6,93,1,11.41,clear sky
80,Ilulissat,GL,69.22,-51.1,50.0,39,99,25.28,overcast clouds
81,Pochutla,MX,15.74,-96.47,77.0,85,86,3.67,light rain
82,Shimoda,JP,34.67,138.95,66.2,93,75,27.51,shower rain
83,Pitimbu,BR,-7.47,-34.81,71.6,100,79,8.28,broken clouds
84,Baykit,RU,61.67,96.37,32.11,93,100,8.05,overcast clouds
85,Juneau,US,58.3,-134.42,46.0,87,90,4.7,overcast clouds
86,Liaozhong,CN,41.51,122.72,73.4,46,20,13.42,few clouds
87,Tasiilaq,GL,65.61,-37.64,37.4,64,100,19.46,overcast clouds
88,Ossora,RU,59.24,163.07,33.62,85,90,20.49,overcast clouds
89,Vardo,NO,70.37,31.11,47.28,89,13,9.62,few clouds
90,Iracoubo,GF,5.48,-53.2,77.95,87,2,8.1,light rain
91,Ribeira Grande,PT,38.52,-28.7,69.8,88,40,5.82,light intensity shower rain
92,Erenhot,CN,43.65,111.98,53.33,40,100,17.16,light rain
93,Puerto Colombia,CO,10.99,-74.95,84.2,89,40,3.36,scattered clouds
94,Gat,IL,31.61,34.76,81.0,100,0,1.99,clear sky
95,Ovruch,UA,51.32,28.8,57.7,86,86,4.76,overcast clouds
96,Vanersborg,SE,58.38,12.32,46.99,93,100,5.82,moderate rain
97,Umm Lajj,SA,25.02,37.27,95.02,34,0,9.71,clear sky
98,Port Macquarie,AU,-31.43,152.92,70.0,51,0,1.01,clear sky
99,Las Vegas,US,36.17,-115.14,78.8,18,1,6.93,clear sky
100,Igrim,RU,63.19,64.42,43.56,96,100,3.78,overcast clouds
101,Nago,JP,26.59,127.98,84.0,69,90,6.93,overcast clouds
102,Esperance,AU,-33.87,121.9,66.2,82,100,14.99,overcast clouds
103,Uarini,BR,-2.99,-65.11,72.34,96,98,3.15,overcast clouds
104,Cherskiy,RU,68.75,161.3,20.68,95,18,3.15,few clouds
105,Pangody,RU,65.85,74.49,34.05,87,81,8.63,broken clouds
106,Aklavik,CA,68.22,-135.01,28.4,92,90,3.36,mist
107,Ponta Do Sol,PT,32.67,-17.1,68.0,82,75,13.87,broken clouds
108,Butaritari,KI,3.07,172.79,82.56,74,100,13.96,overcast clouds
109,Ahipara,NZ,-35.17,173.17,57.7,76,25,13.35,scattered clouds
110,Waingapu,ID,-9.66,120.26,88.43,53,100,14.0,overcast clouds
111,Port Hardy,CA,50.7,-127.42,50.0,100,90,2.24,moderate rain
112,San Jeronimo,PE,-11.95,-75.28,46.27,66,99,0.6,overcast clouds
113,High Level,CA,58.52,-117.14,41.0,86,90,10.29,light rain
114,Maniitsoq,GL,65.42,-52.9,44.49,61,100,20.78,overcast clouds
115,Barrow,US,71.29,-156.79,28.4,74,90,32.21,overcast clouds
116,Saint George,US,37.1,-113.58,71.6,26,1,3.36,clear sky
117,Bilibino,RU,68.05,166.44,20.17,95,99,2.84,overcast clouds
118,Champasak,LA,14.75,106.0,87.8,66,40,2.24,scattered clouds
119,Thompson,CA,55.74,-97.86,19.4,92,40,0.98,scattered clouds
120,Mbanza-Ngungu,CD,-5.25,14.87,72.93,82,100,6.51,overcast clouds
121,Mar Del Plata,AR,-38.0,-57.56,37.99,93,0,3.36,clear sky
122,Comodoro Rivadavia,AR,-45.87,-67.5,55.4,47,0,19.46,clear sky
123,Lakhdenpokhya,RU,61.52,30.2,52.0,78,2,10.49,clear sky
124,Catuday,PH,16.29,119.81,83.19,76,92,6.51,light rain
125,Leningradskiy,RU,69.38,178.42,33.64,95,100,22.19,light rain
126,Huarmey,PE,-10.07,-78.15,60.93,88,98,2.51,overcast clouds
127,Deputatskiy,RU,69.3,139.9,19.9,90,100,4.68,overcast clouds
128,Palu,ID,-0.89,119.87,80.92,78,89,3.47,light rain
129,Ahuimanu,US,21.44,-157.84,80.6,65,20,9.17,few clouds
130,Haines Junction,CA,60.75,-137.51,36.63,80,100,2.39,overcast clouds
131,Yar-Sale,RU,66.83,70.83,33.4,94,100,13.56,overcast clouds
132,Kavieng,PG,-2.57,150.8,79.47,85,100,10.49,moderate rain
133,Buenos Aires,AR,-34.61,-58.38,57.0,62,0,5.82,clear sky
134,Hervey Bay,AU,-25.3,152.85,77.0,69,0,5.99,clear sky
135,Abnub,EG,27.27,31.15,77.0,73,0,10.29,clear sky
136,Fomboni,KM,-12.28,43.74,79.14,73,0,7.29,clear sky
137,Annau,TM,37.89,58.52,53.6,40,0,4.7,clear sky
138,Castro,BR,-24.79,-50.01,52.32,89,2,6.46,clear sky
139,Kavaratti,IN,10.57,72.64,84.2,79,75,6.93,haze
140,Kapaa,US,22.08,-159.32,80.6,74,40,6.93,scattered clouds
141,Innisfail,AU,-17.53,146.03,76.98,67,0,9.4,clear sky
142,Vestmannaeyjar,IS,63.44,-20.27,44.13,61,0,16.49,clear sky
143,Vilyuysk,RU,63.76,121.62,32.45,76,0,5.1,clear sky
144,Moose Factory,CA,51.26,-80.61,39.2,100,90,6.93,overcast clouds
145,Mahebourg,MU,-20.41,57.7,80.6,69,40,11.41,scattered clouds
146,Marrakesh,MA,31.63,-8.01,62.6,88,40,4.7,scattered clouds
147,Durban,ZA,-29.86,31.03,66.99,59,75,11.41,broken clouds
148,Gejiu,CN,23.31,103.16,66.0,69,45,3.33,scattered clouds
149,Bambanglipuro,ID,-7.95,110.28,82.36,73,100,15.12,light rain
150,Ribas Do Rio Pardo,BR,-20.44,-53.76,74.46,69,98,10.83,overcast clouds
151,Pisco,PE,-13.7,-76.22,62.6,88,90,8.05,overcast clouds
152,Champerico,GT,14.3,-91.92,64.99,90,90,6.2,overcast clouds
153,Okhotsk,RU,59.38,143.3,41.79,58,0,1.19,clear sky
154,Norman Wells,CA,65.28,-126.83,35.6,86,75,3.36,broken clouds
155,Nova Olinda Do Norte,BR,-3.89,-59.09,74.64,70,44,1.12,scattered clouds
156,Lunenburg,CA,44.38,-64.32,48.99,89,98,1.01,overcast clouds
157,Fort Nelson,CA,58.81,-122.7,39.2,93,90,2.24,light intensity shower rain
158,Turukhansk,RU,65.82,87.98,25.03,94,0,5.14,clear sky
159,Conde,BR,-7.26,-34.91,71.6,100,60,6.89,broken clouds
160,San Patricio,US,28.02,-97.52,79.0,88,20,5.82,few clouds
161,Port Elizabeth,ZA,-33.92,25.57,60.8,67,40,16.11,scattered clouds
162,Sao Joao Da Barra,BR,-21.64,-41.05,72.01,91,100,4.14,moderate rain
163,Nokaneng,BW,-19.67,22.27,85.39,22,0,11.27,clear sky
164,Tianpeng,CN,30.99,103.94,72.0,79,77,3.83,broken clouds
165,Wewak,PG,-3.55,143.63,80.13,85,100,12.12,light rain
166,Horoatu Crasnei,RO,47.13,22.88,50.0,93,100,1.36,overcast clouds
167,Mincivan,AZ,39.03,46.72,64.45,45,0,3.96,clear sky
168,Qaqortoq,GL,60.72,-46.03,48.2,39,99,24.16,light rain
169,Znamenskoye,RU,57.13,73.83,41.67,91,100,4.88,overcast clouds
170,Tuktoyaktuk,CA,69.45,-133.04,30.33,95,98,8.7,overcast clouds
171,Virginia Beach,US,36.85,-75.98,66.0,83,100,10.09,overcast clouds
172,Miandrivazo,MG,-19.52,45.47,93.69,32,0,2.59,clear sky
173,Tadine,NC,-21.55,167.88,74.26,86,31,12.48,scattered clouds
174,Lata,PT,40.16,-8.33,60.01,97,0,1.99,clear sky
175,Souillac,MU,-20.52,57.52,80.6,69,40,11.41,scattered clouds
176,Irbeyskoye,RU,55.64,95.45,36.0,80,100,16.91,overcast clouds
177,Iskateley,RU,67.68,53.15,46.36,93,97,7.25,overcast clouds
178,Zhezkazgan,KZ,47.8,67.71,46.72,47,14,2.73,few clouds
179,Harper,LR,4.38,-7.72,76.62,89,38,6.31,light rain
180,Talnakh,RU,69.49,88.4,26.6,86,40,6.71,light snow
181,Ende,ID,-8.84,121.66,86.65,58,92,4.47,light rain
182,Tyret Pervaya,RU,53.67,102.31,37.42,62,100,6.62,overcast clouds
183,Grand-Lahou,CI,5.14,-5.02,75.85,89,42,6.98,light rain
184,Alofi,NU,-19.06,-169.92,73.4,100,0,6.93,clear sky
185,Palmer,US,42.16,-72.33,57.0,71,1,10.29,clear sky
186,Yatou,CN,37.15,122.38,67.86,53,100,4.47,overcast clouds
187,Chuy,UY,-33.7,-53.46,44.35,90,2,7.47,clear sky
188,Coihaique,CL,-45.58,-72.07,40.41,86,61,5.82,broken clouds
189,Yamethin,MM,20.43,96.15,90.93,54,0,5.41,clear sky
190,Lebu,CL,-37.62,-73.65,50.99,86,62,13.13,broken clouds
191,Yelan,RU,50.95,43.74,56.5,40,82,15.7,broken clouds
192,Puerto Escondido,MX,15.85,-97.07,78.55,77,49,4.27,scattered clouds
193,Hagere Hiywet,ET,8.98,37.85,68.22,51,0,7.61,clear sky
194,Mayor Pablo Lagerenza,PY,-19.93,-60.77,77.63,47,10,7.18,clear sky
195,Victoria,HK,22.29,114.16,82.0,54,7,8.01,clear sky
196,Antofagasta,CL,-23.65,-70.4,59.0,72,90,8.05,overcast clouds
197,Gondanglegi,ID,-7.75,112.01,89.17,55,100,16.53,moderate rain
198,Kenai,US,60.55,-151.26,41.0,75,1,5.82,clear sky
199,Lagoa,PT,39.05,-27.98,70.23,84,0,7.74,clear sky
200,Wadi Musa,JO,30.32,35.48,82.85,18,0,5.53,clear sky
201,Morristown,US,36.21,-83.29,64.0,100,75,2.73,broken clouds
202,Vao,NC,-22.67,167.48,73.08,87,9,18.05,clear sky
203,Ust-Tsilma,RU,65.44,52.15,48.15,92,97,4.7,overcast clouds
204,Camopi,GF,3.17,-52.32,70.5,97,26,1.25,scattered clouds
205,Durazno,UY,-33.41,-56.5,43.43,83,0,4.65,clear sky
206,Gerede,TR,40.8,32.2,55.65,76,18,4.63,light rain
207,Burgeo,CA,47.62,-57.62,41.22,68,54,23.33,broken clouds
208,Ampanihy,MG,-24.7,44.75,91.42,22,0,10.36,clear sky
209,Galesong,ID,-5.32,119.37,86.0,70,40,11.41,scattered clouds
210,Narsaq,GL,60.92,-46.05,48.2,39,100,24.16,overcast clouds
211,Kantunilkin,MX,21.09,-87.45,80.6,88,40,3.36,scattered clouds
212,Tambopata,PE,-12.73,-69.18,80.29,44,100,1.97,overcast clouds
213,Bay Roberts,CA,47.6,-53.26,44.01,62,58,20.92,broken clouds
214,Lorengau,PG,-2.02,147.27,76.46,90,100,5.01,moderate rain
215,Arraial Do Cabo,BR,-22.97,-42.03,71.67,89,100,20.36,light rain
216,Severo-Kurilsk,RU,50.68,156.12,47.12,76,4,14.83,clear sky
217,Exeter,GB,50.72,-3.53,43.0,96,0,8.9,clear sky
218,Iqaluit,CA,63.75,-68.51,37.4,74,90,10.29,light rain
219,Kidal,ML,18.44,1.41,85.46,14,100,4.09,overcast clouds
220,Belmonte,BR,-15.86,-38.88,78.8,78,75,10.29,broken clouds
221,Ostrovnoy,RU,68.05,39.51,49.39,83,88,15.48,overcast clouds
222,Nanortalik,GL,60.14,-45.24,44.02,75,91,24.27,overcast clouds
223,Ixtapa,MX,20.7,-105.2,81.0,94,86,2.33,overcast clouds
224,Maraba,BR,-5.37,-49.12,80.6,83,99,3.36,moderate rain
225,Marovoay,MG,-16.1,46.63,89.6,49,20,4.7,few clouds
226,Koshurnikovo,RU,54.17,93.3,29.57,98,100,10.69,overcast clouds
227,Sagua La Grande,CU,22.81,-80.08,75.2,94,20,2.24,few clouds
228,Provideniya,RU,64.38,-173.3,39.63,86,100,11.68,overcast clouds
229,Porto Santo,PT,33.07,-16.34,68.0,82,40,11.41,scattered clouds
230,Jacareacanga,BR,-6.22,-57.75,76.93,66,97,0.16,overcast clouds
